Customer_ID,Bank_Name,Customer_Segment,Daily_Txn_Frequency,Daily_Txn_Limit,Daily_Amount_Spent,Daily_Amount_Limit,Monthly_Txn_Frequency,Monthly_Txn_Limit,Monthly_Amount_Spent,Monthly_Amount_Limit,Risk_Score,Risk_Category
CUST100001,State Bank of India,Mass Retail,2,8,8900,50000,38,196,161000,920000,19.8,Low Risk
CUST100002,Bank of India,SME,13,30,168900,1500000,289,713,3247000,30830000,24.6,Low Risk
CUST100003,Federal Bank,Premium,11,30,184400,300000,233,669,2515000,6200000,44.4,Low-Medium Risk
CUST100004,Kotak Mahindra Bank,Affluent,4,16,27900,200000,84,405,683000,4730000,18.0,Low Risk
CUST100005,Punjab National Bank,Mass Retail,2,10,23800,50000,36,214,540000,1130000,35.0,Low Risk
CUST100006,Indian Bank,Mass Retail,1,12,7700,50000,20,253,147000,1050000,11.6,Low Risk
CUST100007,IDFC First Bank,Mass Retail,3,7,7800,100000,68,176,169000,2260000,22.2,Low Risk
CUST100008,State Bank of India,Business,70,62,529900,5000000,1395,1524,12076000,91850000,51.8,Low-Medium Risk
CUST100009,State Bank of India,Affluent,16,16,81600,100000,335,362,1794000,1930000,91.5,High Risk
CUST100010,IDFC First Bank,Premium,35,34,990300,750000,902,677,19808000,16790000,121.9,High Risk
CUST100011,Punjab National Bank,Mass Retail,13,10,24300,25000,268,205,669000,560000,117.9,High Risk
CUST100012,State Bank of India,SME,4,50,8300,200000,99,1180,184000,4680000,5.8,Low Risk
CUST100013,ICICI Bank,Business,18,47,4501700,5000000,576,1020,151516000,104100000,86.8,Medium Risk
CUST100014,ICICI Bank,Mass Retail,6,6,41200,50000,148,149,925000,1150000,89.1,Medium Risk
CUST100015,Federal Bank,Mass Retail,3,11,2000,40000,63,282,36000,910000,13.3,Low Risk
CUST100016,Punjab National Bank,Mass Retail,4,13,40400,100000,92,320,889000,2470000,34.5,Low Risk
CUST100017,Yes Bank,Mass Retail,2,8,7600,40000,33,173,119000,780000,19.2,Low Risk
CUST100018,Canara Bank,Affluent,19,17,244100,300000,378,417,5469000,6560000,90.6,High Risk
CUST100019,State Bank of India,Affluent,2,18,40000,150000,39,386,816000,3330000,19.2,Low Risk
CUST100020,IDFC First Bank,Mass Retail,6,6,32100,40000,151,121,981000,1000000,99.3,High Risk
CUST100021,IDFC First Bank,Affluent,13,21,12100,100000,216,404,206000,1940000,31.7,Low Risk
CUST100022,Canara Bank,Mass Retail,0,6,3700,50000,6,130,63000,1080000,4.7,Low Risk
CUST100023,Canara Bank,Mass Retail,7,11,13700,50000,180,279,199000,1020000,41.5,Low-Medium Risk
CUST100024,Bank of India,Mass Retail,5,6,52100,75000,107,124,1229000,1630000,77.5,Medium Risk
CUST100025,HDFC Bank,Affluent,1,18,97800,300000,13,368,1723000,5890000,19.6,Low Risk
CUST100026,IDFC First Bank,Premium,22,29,52600,300000,694,748,1199000,5500000,48.4,Low-Medium Risk
CUST100027,Yes Bank,Mass Retail,6,7,31900,40000,156,134,618000,880000,86.4,Medium Risk
CUST100028,Bank of India,Affluent,2,16,44000,100000,52,392,607000,2040000,26.2,Low Risk
CUST100029,Indian Bank,Affluent,9,15,43100,150000,155,319,598000,2890000,38.0,Low Risk
CUST100030,Bank of Baroda,Mass Retail,2,10,30100,50000,34,193,552000,1010000,40.6,Low-Medium Risk
CUST100031,Yes Bank,Affluent,7,13,75100,300000,169,331,1348000,5500000,37.1,Low Risk
CUST100032,HDFC Bank,Mass Retail,1,6,11300,40000,10,120,252000,990000,20.3,Low Risk
CUST100033,Yes Bank,Mass Retail,1,7,32300,100000,30,160,538000,2210000,22.9,Low Risk
CUST100034,Bank of India,SME,16,43,67800,750000,259,899,1322000,17780000,19.0,Low Risk
CUST100035,Indian Bank,SME,48,49,588100,750000,1003,953,12521000,15720000,88.9,Medium Risk
CUST100036,Bank of Baroda,Business,12,51,204500,500000,239,987,4746000,12160000,33.0,Low Risk
CUST100037,Yes Bank,Mass Retail,1,7,3000,40000,15,139,60000,860000,9.7,Low Risk
CUST100038,State Bank of India,Mass Retail,1,8,21100,75000,18,156,348000,1650000,19.0,Low Risk
CUST100039,ICICI Bank,Premium,22,24,869000,1000000,586,584,14531000,21440000,85.6,Medium Risk
CUST100040,IDFC First Bank,Affluent,21,21,94200,400000,441,470,2003000,9250000,55.6,Low-Medium Risk
CUST100041,Punjab National Bank,Mass Retail,0,9,23400,75000,5,193,464000,1650000,17.2,Low Risk
CUST100042,ICICI Bank,Affluent,21,21,242700,300000,465,461,6219000,5970000,96.0,High Risk
CUST100043,IndusInd Bank,Mass Retail,9,10,31500,40000,310,255,705000,760000,94.8,High Risk
CUST100044,Bank of India,Business,17,60,1012800,5000000,447,1523,20469000,111210000,23.2,Low Risk
CUST100045,State Bank of India,Mass Retail,2,9,2600,40000,48,216,43000,860000,12.8,Low Risk
CUST100046,Indian Bank,Premium,15,33,176700,750000,310,831,2787000,14000000,30.4,Low Risk
CUST100047,Union Bank of India,Mass Retail,3,9,3000,25000,49,191,42000,520000,18.6,Low Risk
CUST100048,Indian Bank,Affluent,4,12,15400,150000,71,260,257000,3240000,18.2,Low Risk
